,precision,recall,f1-score,support
TB2,0.7884615384615384,0.640625,0.7068965517241379,64.0
Tejas,0.7,0.3333333333333333,0.45161290322580644,21.0
Tornado,0.2549019607843137,0.17567567567567569,0.208,74.0
Tu160,0.39285714285714285,0.515625,0.44594594594594594,64.0
Tu22M,0.4146341463414634,0.5151515151515151,0.4594594594594595,66.0
Tu95,0.5,0.3384615384615385,0.4036697247706422,65.0
U2,0.2962962962962963,0.16326530612244897,0.21052631578947367,49.0
UH60,0.2127659574468085,0.19230769230769232,0.20202020202020202,52.0
US2,0.4539877300613497,0.74,0.5627376425855514,100.0
V22,0.4046242774566474,0.5147058823529411,0.45307443365695793,136.0
V280,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Vulcan,0.24615384615384617,0.26229508196721313,0.25396825396825395,61.0
WZ10,0.0,0.0,0.0,3.0
WZ7,0.2857142857142857,0.1,0.14814814814814814,20.0
WZ9,0.0,0.0,0.0,2.0
X29,0.21428571428571427,0.375,0.2727272727272727,8.0
X32,0.2,0.25,0.2222222222222222,12.0
XB70,0.32142857142857145,0.3333333333333333,0.32727272727272727,27.0
XQ58,0.0,0.0,0.0,6.0
Y20,0.5588235294117647,0.3584905660377358,0.4367816091954023,53.0
YF23,0.5,0.09523809523809523,0.16,21.0
Z10,0.4,0.11764705882352941,0.18181818181818182,17.0
Z19,0.5333333333333333,0.47058823529411764,0.5,17.0
accuracy,0.3819010636501773,0.3819010636501773,0.3819010636501773,0.3819010636501773
macro avg,0.38843703699179316,0.30502277607094724,0.31675544144048534,5923.0
weighted avg,0.39693133741611025,0.3819010636501773,0.37142878104469124,5923.0
