,precision,recall,f1-score,support
Tornado,0.5,0.24324324324324326,0.32727272727272727,74.0
Tu160,0.43478260869565216,0.46875,0.45112781954887216,64.0
Tu22M,0.484375,0.4696969696969697,0.47692307692307695,66.0
Tu95,0.41025641025641024,0.24615384615384617,0.3076923076923077,65.0
U2,0.34782608695652173,0.32653061224489793,0.3368421052631579,49.0
UH60,0.4,0.23076923076923078,0.2926829268292683,52.0
US2,0.5163934426229508,0.63,0.5675675675675675,100.0
V22,0.38095238095238093,0.7058823529411765,0.4948453608247423,136.0
V280,1.0,0.16666666666666666,0.2857142857142857,6.0
Vulcan,0.56,0.45901639344262296,0.5045045045045045,61.0
WZ10,0.0,0.0,0.0,3.0
WZ7,0.6,0.15,0.24,20.0
WZ9,1.0,0.5,0.6666666666666666,2.0
X29,1.0,0.25,0.4,8.0
X32,0.6,0.25,0.35294117647058826,12.0
XB70,0.5,0.48148148148148145,0.49056603773584906,27.0
XQ58,0.0,0.0,0.0,6.0
Y20,0.45714285714285713,0.3018867924528302,0.36363636363636365,53.0
YF23,0.42857142857142855,0.2857142857142857,0.34285714285714286,21.0
Z10,0.2,0.058823529411764705,0.09090909090909091,17.0
Z19,0.6,0.17647058823529413,0.2727272727272727,17.0
accuracy,0.4409927401654567,0.4409927401654567,0.4409927401654567,0.4409927401654567
macro avg,0.4855154009921712,0.33125582539677945,0.35279313050193767,5923.0
weighted avg,0.4662325715821205,0.4409927401654567,0.42033054245821394,5923.0
